//Index,Tag ID (hex),PRI,Tag ID (dec),,
1,2ECB,5,11979,,
2,2ECD,5,11981,,
3,2ED1,5,11985,,
4,2ED2,5,11986,,
5,2ED3,5,11987,,
6,2ED4,5,11988,,
7,2ED6,5,11990,,
8,2ED7,5,11991,,
9,2ED9,5,11993,,
10,2EDA,5,11994,,
11,2EDB,5,11995,,
12,2EDD,5,11997,,
13,2EE5,5,12005,,
14,2EE9,5,12009,,
15,2EEA,5,12010,,
16,2EEB,5,12011,,
17,2EED,5,12013,,
18,2EF5,5,12021,,
19,2F15,5,12053,,
20,2F25,5,12069,,
21,2F29,5,12073,,
22,2F2A,5,12074,,
23,2F2B,5,12075,,
24,2F2D,5,12077,,
25,2F35,5,12085,,
26,2F45,5,12101,,
27,2F49,5,12105,,
28,2F4A,5,12106,,
29,2F4B,5,12107,,
30,2F4D,5,12109,,
31,2F51,5,12113,,
32,2F52,5,12114,,
33,2F53,5,12115,,
34,2F54,5,12116,,
35,2F55,5,12117,,
36,2F56,5,12118,,
37,2F57,5,12119,,
38,2F59,5,12121,,
39,2F5A,5,12122,,
40,2F5B,5,12123,,
41,2F5D,5,12125,,
42,2F65,5,12133,,
43,2F69,5,12137,,
44,2F6A,5,12138,,
45,2F6B,5,12139,,
46,2F6D,5,12141,,
47,2F75,5,12149,,
48,2F95,5,12181,,
49,2FA5,5,12197,,
50,2FA9,5,12201,,
51,2FAA,5,12202,,
52,2FAB,5,12203,,
53,2FAD,5,12205,,
54,2FB5,5,12213,,
55,2FD5,5,12245,,
56,3055,5,12373,,
57,3095,5,12437,,
58,30A5,5,12453,,
59,30A9,5,12457,,
60,30AA,5,12458,,
61,30AB,5,12459,,
62,30AD,5,12461,,
63,30B5,5,12469,,
64,30D5,5,12501,,
65,3115,5,12565,,
66,3125,5,12581,,
67,3129,5,12585,,
68,312A,5,12586,,
69,312B,5,12587,,
70,312D,5,12589,,
71,3135,5,12597,,
72,3145,5,12613,,
73,3149,5,12617,,
74,3215,5,12821,,
75,3225,5,12837,,
76,3229,5,12841,,
77,322A,5,12842,,
78,322D,5,12845,,
79,3235,5,12853,,
80,3245,5,12869,,
81,3249,5,12873,,
82,324B,5,12875,,
83,324D,5,12877,,
84,3251,5,12881,,
85,3252,5,12882,,
86,3253,5,12883,,
87,3254,5,12884,,
88,3255,5,12885,,
89,3257,5,12887,,
90,3259,5,12889,,
91,325A,5,12890,,
92,325B,5,12891,,
93,325D,5,12893,,
94,3265,5,12901,,
95,3269,5,12905,,
96,326D,5,12909,,
97,3275,5,12917,,
98,3285,5,12933,,
99,3289,5,12937,,
100,328A,5,12938,,
101,328B,5,12939,,
102,328D,5,12941,,
103,3292,5,12946,,
104,3293,5,12947,,
105,3296,5,12950,,
106,3299,5,12953,,
107,329A,5,12954,,
108,329B,5,12955,,
109,329D,5,12957,,
110,32A1,5,12961,,
111,32A2,5,12962,,
112,32A4,5,12964,,
113,32A6,5,12966,,
114,32A7,5,12967,,
115,32A8,5,12968,,
116,32A9,5,12969,,
117,32AC,5,12972,,
118,32AE,5,12974,,
119,32B1,5,12977,,
120,32B2,5,12978,,
121,32B3,5,12979,,
122,32B4,5,12980,,
123,32B6,5,12982,,
124,32B7,5,12983,,
125,32B9,5,12985,,
126,32BA,5,12986,,
127,32BB,5,12987,,
128,32BD,5,12989,,
129,32C9,5,13001,,
130,32CA,5,13002,,
131,32CB,5,13003,,
132,32CD,5,13005,,
133,32D2,5,13010,,
134,32D4,5,13012,,
135,32D5,5,13013,,
136,32D6,5,13014,,
137,32D9,5,13017,,
138,32DA,5,13018,,
139,32DB,5,13019,,
140,32DD,5,13021,,
141,32E5,5,13029,,
142,32E9,5,13033,,
143,32F5,5,13045,,
144,3315,5,13077,,
145,3325,5,13093,,
146,3329,5,13097,,
147,332B,5,13099,,
148,332D,5,13101,,
149,3335,5,13109,,
150,3349,5,13129,,
151,334A,5,13130,,
152,334B,5,13131,,
153,334D,5,13133,,
154,3351,5,13137,,
155,3352,5,13138,,
156,3353,5,13139,,
157,3354,5,13140,,
158,3356,5,13142,,
159,3357,5,13143,,
160,3359,5,13145,,
161,335A,5,13146,,
162,335D,5,13149,,
163,3365,5,13157,,
164,3369,5,13161,,
165,336A,5,13162,,
166,336B,5,13163,,
167,336D,5,13165,,
168,3395,5,13205,,
169,33A5,5,13221,,
170,33A9,5,13225,,
171,33AB,5,13227,,
172,33AD,5,13229,,
173,33B5,5,13237,,
174,33D5,5,13269,,
175,3415,5,13333,,
176,3425,5,13349,,
177,342A,5,13354,,
178,342D,5,13357,,
179,3435,5,13365,,
180,3445,5,13381,,
181,3449,5,13385,,
182,344A,5,13386,,
183,344B,5,13387,,
184,344D,5,13389,,
185,3452,5,13394,,
186,3453,5,13395,,
187,3454,5,13396,,
188,3456,5,13398,,
190,345B,5,13403,,
191,345D,5,13405,,
192,3465,5,13413,,
193,3469,5,13417,,
195,346B,5,13419,,
196,346D,5,13421,,
197,3475,5,13429,,
198,3485,5,13445,,
199,3489,5,13449,,
200,348B,5,13451,,
201,348D,5,13453,,
202,3491,5,13457,,
203,3492,5,13458,,
204,3493,5,13459,,
205,3494,5,13460,,
206,3496,5,13462,,
207,3499,5,13465,,
208,349A,5,13466,,
209,349B,5,13467,,
210,349D,5,13469,,
211,34A1,5,13473,,
212,34A2,5,13474,,
213,34A3,5,13475,,
214,34A4,5,13476,,
215,34A6,5,13478,,
216,34A8,5,13480,,
217,34AC,5,13484,,
218,34AE,5,13486,,
219,34AF,5,13487,,
220,34B1,5,13489,,
221,34B2,5,13490,,
222,34B3,5,13491,,
223,34B4,5,13492,,
224,34BB,5,13499,,
225,34BD,5,13501,,
226,34C5,5,13509,,
227,34C9,5,13513,,
228,34CA,5,13514,,
229,34CB,5,13515,,
230,34CD,5,13517,,
231,34D1,5,13521,,
232,34D3,5,13523,,
233,34D6,5,13526,,
234,34D7,5,13527,,
235,34D9,5,13529,,
236,34DA,5,13530,,
237,34DB,5,13531,,
238,34DD,5,13533,,
239,34E5,5,13541,,
240,34E9,5,13545,,
241,34EA,5,13546,,
242,34EB,5,13547,,
243,34F5,5,13557,,
244,3509,5,13577,,
245,350A,5,13578,,
246,350B,5,13579,,
247,3511,5,13585,,
248,3513,5,13587,,
249,3514,5,13588,,
250,3519,5,13593,,
251,351A,5,13594,,
252,351B,5,13595,,
253,351D,5,13597,,
254,3521,5,13601,,
255,3522,5,13602,,
256,3523,5,13603,,
257,3524,5,13604,,
258,3526,5,13606,,
259,3527,5,13607,,
260,3528,5,13608,,
261,352C,5,13612,,
262,352D,5,13613,,
263,352E,5,13614,,
264,352F,5,13615,,
265,3531,5,13617,,
266,3532,5,13618,,
267,3534,5,13620,,
268,3535,5,13621,,
269,3536,5,13622,,
270,3537,5,13623,,
271,353A,5,13626,,
272,353B,5,13627,,
273,353D,5,13629,,
274,3541,5,13633,,
275,3542,5,13634,,
276,3543,5,13635,,
277,3544,5,13636,,
278,3547,5,13639,,
279,3549,5,13641,,
280,354B,5,13643,,
281,354D,5,13645,,
282,354E,5,13646,,
283,354F,5,13647,,
284,3550,5,13648,,
285,3551,5,13649,,
286,3555,5,13653,,
287,3557,5,13655,,
288,355B,5,13659,,
289,355E,5,13662,,
290,3563,5,13667,,
291,3564,5,13668,,
292,3565,5,13669,,
293,356C,5,13676,,
294,356D,5,13677,,
295,356E,5,13678,,
296,356F,5,13679,,
297,3571,5,13681,,
298,3573,5,13683,,
299,3574,5,13684,,
300,3575,5,13685,,
301,3576,5,13686,,
302,3579,5,13689,,
303,357A,5,13690,,
304,357B,5,13691,,
305,357D,5,13693,,
306,3585,5,13701,,
307,358B,5,13707,,
308,358D,5,13709,,
309,3591,5,13713,,
310,3592,5,13714,,
311,3594,5,13716,,
312,3595,5,13717,,
313,3596,5,13718,,
314,3597,5,13719,,
315,359B,5,13723,,
316,359D,5,13725,,
317,35A1,5,13729,,
318,35A2,5,13730,,
319,35A3,5,13731,,
320,35A5,5,13733,,
321,35A8,5,13736,,
322,35A9,5,13737,,
323,35AB,5,13739,,
324,35AC,5,13740,,
325,35AD,5,13741,,
326,35AE,5,13742,,
327,35B1,5,13745,,
328,35B3,5,13747,,
329,35B4,5,13748,,
330,35B5,5,13749,,
331,35B7,5,13751,,
332,35B9,5,13753,,
333,35BA,5,13754,,
334,35BB,5,13755,,
335,35BD,5,13757,,
336,35C5,5,13765,,
337,35C9,5,13769,,
338,35CA,5,13770,,
339,35CB,5,13771,,
340,35CD,5,13773,,
341,35D3,5,13779,,
342,35D4,5,13780,,
343,35D5,5,13781,,
344,35D6,5,13782,,
345,35D7,5,13783,,
346,35D9,5,13785,,
347,35DB,5,13787,,
348,35E5,5,13797,,
349,35ED,5,13805,,
350,35F5,5,13813,,
351,3615,5,13845,,
352,3629,5,13865,,
353,362A,5,13866,,
354,362D,5,13869,,
355,3635,5,13877,,
356,3649,5,13897,,
357,364A,5,13898,,
358,364D,5,13901,,
359,3651,5,13905,,
360,3653,5,13907,,
361,3654,5,13908,,
362,3655,5,13909,,
363,3656,5,13910,,
364,3657,5,13911,,
365,3659,5,13913,,
366,365A,5,13914,,
367,365B,5,13915,,
368,365D,5,13917,,
369,3665,5,13925,,
370,3669,5,13929,,
371,366A,5,13930,,
372,366B,5,13931,,
373,366D,5,13933,,
374,3675,5,13941,,
375,3685,5,13957,,
376,368A,5,13962,,
377,368B,5,13963,,
378,3691,5,13969,,
379,3692,5,13970,,
380,3693,5,13971,,
381,3694,5,13972,,
382,3697,5,13975,,
383,369B,5,13979,,
384,369D,5,13981,,
385,36A1,5,13985,,
386,36A4,5,13988,,
387,36A5,5,13989,,
388,36A7,5,13991,,
389,36A8,5,13992,,
390,36A9,5,13993,,
391,36AB,5,13995,,
392,36AC,5,13996,,
393,36B1,5,14001,,
394,36B2,5,14002,,
395,36B3,5,14003,,
396,36B4,5,14004,,
397,36B5,5,14005,,
398,36B6,5,14006,,
399,36B9,5,14009,,
400,36BA,5,14010,,
401,36BB,5,14011,,
402,36BD,5,14013,,
403,36C5,5,14021,,
404,36C9,5,14025,,
405,36CA,5,14026,,
406,36CD,5,14029,,
407,36D2,5,14034,,
408,36D3,5,14035,,
409,36D4,5,14036,,
410,36D6,5,14038,,
411,36D7,5,14039,,
412,36DA,5,14042,,
413,36DB,5,14043,,
414,36DD,5,14045,,
415,36E5,5,14053,,
416,36E9,5,14057,,
417,36EA,5,14058,,
418,36EB,5,14059,,
419,36ED,5,14061,,
420,3725,5,14117,,
421,3729,5,14121,,
422,372A,5,14122,,
423,372B,5,14123,,
424,372D,5,14125,,
425,3745,5,14149,,
426,3749,5,14153,,
427,374A,5,14154,,
428,374B,5,14155,,
429,374D,5,14157,,
430,3751,5,14161,,
431,3752,5,14162,,
432,3754,5,14164,,
433,3755,5,14165,,
434,3757,5,14167,,
435,375A,5,14170,,
436,375B,5,14171,,
437,3765,5,14181,,
438,3769,5,14185,,
439,376A,5,14186,,
440,376B,5,14187,,
441,3775,5,14197,,
442,3795,5,14229,,
443,37A5,5,14245,,
444,37AD,5,14253,,
445,37B5,5,14261,,
446,37D5,5,14293,,
447,3895,5,14485,,
448,38A9,5,14505,,
449,38AD,5,14509,,
450,3915,5,14613,,
451,3925,5,14629,,
452,3929,5,14633,,
453,392A,5,14634,,
454,392B,5,14635,,
455,392D,5,14637,,
456,3935,5,14645,,
457,3945,5,14661,,
458,394D,5,14669,,
459,3952,5,14674,,
460,3955,5,14677,,
461,3956,5,14678,,
462,3957,5,14679,,
463,395A,5,14682,,
464,395B,5,14683,,
465,3965,5,14693,,
466,396A,5,14698,,
467,396B,5,14699,,
468,396D,5,14701,,
469,3975,5,14709,,
470,39A5,5,14757,,
471,39A9,5,14761,,
472,39AB,5,14763,,
473,39B5,5,14773,,
474,39D5,5,14805,,
475,3A15,5,14869,,
476,3A25,5,14885,,
477,3A2A,5,14890,,
478,3A2B,5,14891,,
479,3A2D,5,14893,,
480,3A45,5,14917,,
481,3A49,5,14921,,
482,3A4A,5,14922,,
483,3A4B,5,14923,,
484,3A53,5,14931,,
485,3A54,5,14932,,
486,3A55,5,14933,,
487,3A56,5,14934,,
488,3A57,5,14935,,
489,3A5A,5,14938,,
490,3A5D,5,14941,,
491,3A65,5,14949,,
492,3A85,5,14981,,
493,3A89,5,14985,,
494,3A8B,5,14987,,
495,3A91,5,14993,,
496,3A92,5,14994,,
497,3A93,5,14995,,
498,3A95,5,14997,,
499,3A96,5,14998,,
500,3A97,5,14999,,
501,3A99,5,15001,,
502,3A9A,5,15002,,
503,3A9B,5,15003,,
504,3A9D,5,15005,,
505,3AA1,5,15009,,
506,3AA3,5,15011,,
507,3AA4,5,15012,,
508,3AA6,5,15014,,
509,3AA7,5,15015,,
510,3AA8,5,15016,,
511,3AA9,5,15017,,
512,3AAC,5,15020,,
513,3AAD,5,15021,,
514,3AAE,5,15022,,
515,3AAF,5,15023,,
516,3AB2,5,15026,,
517,3AB4,5,15028,,
518,3AB5,5,15029,,
519,3AB7,5,15031,,
520,3AB9,5,15033,,
521,3ABB,5,15035,,
522,3AC5,5,15045,,
523,3AC9,5,15049,,
524,3ACB,5,15051,,
525,3ACD,5,15053,,
526,3AD9,5,15065,,
527,3ADA,5,15066,,
528,3ADD,5,15069,,
529,3AE9,5,15081,,
530,3AEA,5,15082,,
531,3AEB,5,15083,,
532,3AED,5,15085,,
533,3B15,5,15125,,
534,3B25,5,15141,,
535,3B29,5,15145,,
536,3B2A,5,15146,,
537,3B2D,5,15149,,
538,3B35,5,15157,,
539,3B45,5,15173,,
540,3B49,5,15177,,
541,3B4A,5,15178,,
542,3B4D,5,15181,,
543,3B51,5,15185,,
544,3B52,5,15186,,
545,3B53,5,15187,,
546,3B55,5,15189,,
547,3B56,5,15190,,
548,3B5A,5,15194,,
549,3B5B,5,15195,,
550,3B65,5,15205,,
551,3B6D,5,15213,,
552,3B95,5,15253,,
553,3BA5,5,15269,,
554,3BA9,5,15273,,
555,3BAA,5,15274,,
556,3BAB,5,15275,,
557,3BB5,5,15285,,
558,3BD5,5,15317,,
559,3CA9,5,15529,,
560,3CAA,5,15530,,
561,3CAB,5,15531,,
562,3CAD,5,15533,,
563,3CB5,5,15541,,
564,3CD5,5,15573,,
565,3D15,5,15637,,
566,3D25,5,15653,,
567,3D29,5,15657,,
568,3D2A,5,15658,,
569,3D2B,5,15659,,
570,3D2D,5,15661,,
571,3D35,5,15669,,
572,3D45,5,15685,,
573,3D49,5,15689,,
574,3D4A,5,15690,,
575,3D4B,5,15691,,
576,3D4D,5,15693,,
577,3D51,5,15697,,
578,3D52,5,15698,,
579,3D53,5,15699,,
580,3D54,5,15700,,
581,3D55,5,15701,,
582,3D56,5,15702,,
583,3D57,5,15703,,
584,3D59,5,15705,,
585,3D5A,5,15706,,
586,3D5B,5,15707,,
587,3D5D,5,15709,,
588,3D65,5,15717,,
589,3D69,5,15721,,
590,3D6A,5,15722,,
591,3D6B,5,15723,,
592,3D6D,5,15725,,
593,3D75,5,15733,,
594,3D95,5,15765,,
595,3DA5,5,15781,,
596,3DA9,5,15785,,
597,3DAA,5,15786,,
598,3DAB,5,15787,,
599,3DAD,5,15789,,
600,3DB5,5,15797,,
601,3DD5,5,15829,,
602,3E55,5,15957,,
603,3E95,5,16021,,
604,3EA5,5,16037,,
605,3EA9,5,16041,,
606,3EAA,5,16042,,
607,3EAB,5,16043,,
608,3EAD,5,16045,,
609,3EB5,5,16053,,
610,3ED5,5,16085,,
611,3F55,5,16213,,
612,4055,5,16469,,
613,4095,5,16533,,
614,40A5,5,16549,,
615,40A9,5,16553,,
616,40AA,5,16554,,
617,40AB,5,16555,,
618,40AD,5,16557,,
619,40B5,5,16565,,
620,40D5,5,16597,,
621,4115,5,16661,,
622,4125,5,16677,,
623,4129,5,16681,,
624,412A,5,16682,,
625,412B,5,16683,,
626,412D,5,16685,,
627,4135,5,16693,,
628,4145,5,16709,,
629,4149,5,16713,,
630,414A,5,16714,,
631,414B,5,16715,,
632,414D,5,16717,,
633,4151,5,16721,,
634,4152,5,16722,,
635,4153,5,16723,,
636,4154,5,16724,,
637,4155,5,16725,,
638,4156,5,16726,,
639,4157,5,16727,,
640,4159,5,16729,,
641,415A,5,16730,,
642,415B,5,16731,,
643,415D,5,16733,,
644,4165,5,16741,,
645,4169,5,16745,,
646,416A,5,16746,,
647,416B,5,16747,,
648,416D,5,16749,,
649,4175,5,16757,,
650,4195,5,16789,,
651,41A5,5,16805,,
652,41A9,5,16809,,
653,41AA,5,16810,,
654,41AB,5,16811,,
655,41AD,5,16813,,
656,41B5,5,16821,,
657,41D5,5,16853,,
658,4215,5,16917,,
659,4225,5,16933,,
660,4229,5,16937,,
661,422A,5,16938,,
662,422B,5,16939,,
663,422D,5,16941,,
664,4235,5,16949,,
665,4245,5,16965,,
666,4249,5,16969,,
667,424A,5,16970,,
668,424B,5,16971,,
669,424D,5,16973,,
670,4251,5,16977,,
671,4252,5,16978,,
672,4253,5,16979,,
673,4254,5,16980,,
189,3459,5,13401,,
194,346A,5,13418,,
674,6979,5,27001,,
675,697A,5,27002,,
676,697B,5,27003,,
677,697D,5,27005,,
678,6985,5,27013,,
679,6989,5,27017,,
680,698A,5,27018,,
681,698B,5,27019,,
682,698D,5,27021,,
683,6991,5,27025,,
684,6992,5,27026,,
685,6993,5,27027,,
686,6994,5,27028,,
687,6995,5,27029,,
688,6996,5,27030,,
689,6997,5,27031,,
690,6999,5,27033,,
691,699A,5,27034,,
692,699B,5,27035,,
693,699D,5,27037,,
694,69A1,5,27041,,
695,69A2,5,27042,,
696,69A3,5,27043,,
697,69A4,5,27044,,
698,69A5,5,27045,,
699,69A6,5,27046,,
700,69A7,5,27047,,
701,69A8,5,27048,,
702,69A9,5,27049,,
703,69AB,5,27051,,
704,69AC,5,27052,,
705,69AD,5,27053,,
706,69AE,5,27054,,
707,69AF,5,27055,,
708,69B1,5,27057,,
709,69B2,5,27058,,
710,69B3,5,27059,,
711,69B4,5,27060,,
712,69B6,5,27062,,
713,69B7,5,27063,,
714,69B9,5,27065,,
715,69BA,5,27066,,
716,69BB,5,27067,,
717,69BD,5,27069,,
718,69C5,5,27077,,
719,69C9,5,27081,,
720,69CA,5,27082,,
721,69CB,5,27083,,
722,69CD,5,27085,,
723,69D1,5,27089,,
724,69D2,5,27090,,
725,69D3,5,27091,,
726,69D4,5,27092,,
727,69D5,5,27093,,
728,69D6,5,27094,,
729,69D7,5,27095,,
730,69D9,5,27097,,
731,69DA,5,27098,,
732,69DB,5,27099,,
733,69DD,5,27101,,
734,69E5,5,27109,,
735,69E9,5,27113,,
736,69EA,5,27114,,
737,69EB,5,27115,,
738,69ED,5,27117,,
739,69F5,5,27125,,
740,6A05,5,27141,,
741,6A09,5,27145,,
742,6A0A,5,27146,,
743,6A0B,5,27147,,
744,6A0D,5,27149,,
745,6A11,5,27153,,
746,6A12,5,27154,,
747,6A13,5,27155,,
748,6A14,5,27156,,
749,6A15,5,27157,,
750,6A16,5,27158,,
751,6A17,5,27159,,
752,6A19,5,27161,,
753,00CA,6,202,,
754,00C9,6,201,,
755,801A,5,32794,,
756,038C,5,908,,
